latitude,longitude,kde_value,kde_normalized,kde_weight,percentile,density_category
8.578883484824722,76.96090488167042,6.67060586223859e-10,0.005557877336032287,0.027541427089874726,5.169696332878008,Low Density
8.414346395825476,76.9618847457319,7.103034518634315e-10,0.015542648934339492,0.20378169774490787,13.439108962908481,Low Density
8.416154402141089,76.96189384807363,7.97028777235311e-10,0.03556751437329085,0.9617259949457887,26.184722076284544,Low Density
8.417962408281001,76.96190295244138,8.8834133604919e-10,0.05665157136925521,2.2060084903684345,36.28244194599139,Low Density
8.419770414245185,76.96191205883515,9.834105278064617e-10,0.07860303438384675,3.8545859411714685,42.50288956603972,Medium Density
8.421578420033596,76.96192116725501,1.0812281759603708e-09,0.1011891155941209,5.823758559369145,47.9142586949669,Medium Density
8.423386425646203,76.961930277701,1.1806352255875519e-09,0.12414218938118005,8.03059157882832,52.21183145949354,Medium Density
8.425194431082968,76.96193939017319,1.2803639496184153e-09,0.14716953774283748,10.395262983942603,56.07859619628034,Medium Density
8.427002436343859,76.9619485046716,1.3790952021204507e-09,0.16996657006868507,12.843316488853604,59.72470316276137,Medium Density
8.428810441428826,76.96195762119628,1.475528661900857e-09,0.19223304237806782,15.307780122846603,63.02406220447621,High Density
8.430618446337844,76.96196673974725,1.5684623568538644e-09,0.21369141948070305,17.731096186841626,65.89261321845119,High Density
8.432426451070876,76.96197586032461,1.656876246275846e-09,0.23410617412149196,20.066797629333706,68.67710412945256,High Density
8.434234455627875,76.9619849829284,1.7400134701699341e-09,0.2533025474335361,22.280858498268348,71.06230955132921,High Density
8.436042460008812,76.96199410755862,1.8174522355019194e-09,0.27118314746452027,24.35264182141849,72.9641693811075,High Density
8.437850464213652,76.96200323421533,1.8891613335840525e-09,0.28774076813282956,26.27536753978479,74.33014605442891,High Density
8.439658468242351,76.96201236289862,1.9555330310497644e-09,0.3030659837489894,28.056027335325258,75.51749500893139,High Density
8.441466472094879,76.96202149360849,2.0173885230695012e-09,0.31734840816243515,29.71468443339203,76.50520121887149,High Density
8.443274475771197,76.962030626345,2.075953167219274e-09,0.33087097626524137,31.283116971966056,77.52442996742671,High Density
8.445082479271267,76.96203976110819,2.1328011392054116e-09,0.34399716500674593,32.80279491984236,78.34401597141957,High Density
8.446890482595052,76.96204889789811,2.1897717242003886e-09,0.357151665074758,34.32222292136257,79.16360197541242,High Density
8.448698485742517,76.96205803671482,2.2488619152993116e-09,0.3707955818942564,35.893733043769124,80.00420300514868,Very High Density
8.450506488713625,76.96206717755835,2.312102082139159e-09,0.3853977275290469,37.56986866856526,80.85531154775664,Very High Density
8.452314491508336,76.96207632042876,2.38142299159152e-09,0.40140391577840645,39.39955899222644,81.69591257749292,Very High Density
8.45412249412662,76.96208546532608,2.4585232715420642e-09,0.4192063595823906,41.424336944681514,82.72564883891982,Very High Density
8.455930496568433,76.96209461225037,2.5447464535582527e-09,0.4391152801910902,43.674893659043626,83.71335504885994,Very High Density
8.457738498833738,76.96210376120166,2.6409760393317277e-09,0.4613346780209274,46.16827807025882,84.80613638751707,Very High Density
8.45954650092251,76.96211291218,2.7475557097101415e-09,0.48594390893132017,48.9060263835666,85.87790270043081,Very High Density
8.461354502834697,76.96212206518545,2.8642399862124415e-09,0.512886291975496,51.87343225558328,87.09677419354838,Very High Density
8.46316250457027,76.96213122021805,2.9901785424613436e-09,0.5419654869124548,55.040046576472164,88.27361563517914,Very High Density
8.464970506129193,76.96214037727785,3.1239351287456032e-09,0.5728498638857383,58.361345985642345,89.47147210255334,Very High Density
8.466778507511425,76.96214953636489,3.2635398812407047e-09,0.6050845816151338,61.781365806281784,90.61679100556898,Very High Density
8.46858650871693,76.96215869747921,3.406571772567689e-09,0.6381106252191199,65.23599048729865,91.74109488284124,Very High Density
8.470394509745677,76.96216786062087,3.550266222509235e-09,0.6712896535140844,68.6565534839205,92.82336870862666,Very High Density
8.472202510597617,76.9621770257899,3.6916414958460176e-09,0.7039331842569739,71.97341874518351,93.83208994431018,Very High Density
8.474010511272727,76.96218619298635,3.827636513779109e-09,0.7353344147833566,75.1192805307153,94.68319848691816,Very High Density
8.475818511770965,76.9621953622103,3.9552521262109e-09,0.764800841757231,78.03200281927542,95.40821687506568,Extreme High Density
8.477626512092291,76.96220453346173,4.071687754655116e-09,0.7916858119997431,80.65690216241343,96.02816013449616,Extreme High Density
8.47943451223667,76.96221370674076,4.174465631688548e-09,0.8154172093611293,82.94844442277571,96.57455080382474,Extreme High Density
8.48124251220407,76.96222288204739,4.261535632310632e-09,0.835521660266908,84.87137107122226,97.04738888305138,Extreme High Density
8.483050511994447,76.96223205938166,4.3313548951722545e-09,0.8516429182484214,86.4012958511231,97.33109173058737,Extreme High Density
8.484858511607765,76.96224123874364,4.3829380190347224e-09,0.8635534542981553,87.52482251325773,97.59377955237996,Extreme High Density
8.486666511043994,76.96225042013339,4.415875509599734e-09,0.8711587162401874,88.23923492753785,97.71986970684038,Extreme High Density
8.488474510303087,76.9622596035509,4.430320226940825e-09,0.8744939994440117,88.55180763524288,97.82494483555743,Extreme High Density
8.490282509385018,76.96226878899628,4.426943698575752e-09,0.873714359519094,88.4787820228123,97.80392980981402,Extreme High Density
8.492090508289746,76.96227797646955,4.406866156252489e-09,0.8690784578185908,88.04405353757463,97.69885468109698,Extreme High Density
8.493898507017228,76.96228716597075,4.371565865372945e-09,0.8609276256160295,87.2776200902747,97.58327203950824,Extreme High Density
8.495706505567435,76.96229635749994,4.322774603533993e-09,0.8496617301151238,86.2138510659233,97.29956919197225,Extreme High Density
8.49751450394033,76.96230555105714,4.262366903197486e-09,0.8357136005978459,84.88964906033681,97.05789639592308,Extreme High Density
8.49932250213587,76.96231474664242,4.192250843847545e-09,0.8195238123488949,83.34259035893132,96.66911841967007,Extreme High Density
8.501130500154023,76.96232394425583,4.1142677535006985e-09,0.8015175277484853,81.60914220169326,96.29084795628874,Extreme High Density
8.502938497994755,76.9623331438974,4.030107200721556e-09,0.7820848679407131,79.72306151351918,95.81800987706211,Extreme High Density
8.50474649565802,76.9623423455672,3.941242213218761e-09,0.761565954816467,77.71407769366708,95.30314174634864,Extreme High Density
8.50655449314379,76.96235154926524,3.848887869718983e-09,0.7402413498829535,75.60694889846576,94.77776610276348,Very High Density
8.508362490452026,76.9623607549916,3.753984425197036e-09,0.7183281578817022,73.42095638803994,94.1893453819481,Very High Density
