latitude,longitude,gi_star,p_value,hotspot_category,weight_sum
8.688948663826034,76.75989142022777,-0.4233442219431172,0.243,Not Significant,0.009812074
8.719687855402377,76.76003507944529,-0.5504072094748867,0.136,Not Significant,0.009812074
8.73957789284457,76.76012831620503,-0.05045603309153439,0.442,Not Significant,0.015632796
8.768508817436366,76.76026432728897,-0.4509446912490608,0.261,Not Significant,0.007816398
8.793823338471837,76.76038372014582,-0.10574233185191544,0.499,Not Significant,0.007982704
8.743185810252486,76.7619627680569,-0.17528605830639263,0.492,Not Significant,0.019624148
8.768500341904621,76.76208192605107,-0.5504800972153996,0.136,Not Significant,0.007816398
8.793814838098598,76.76220144203414,-0.5375751606888075,0.232,Not Significant,0.01363712
8.681699115910764,76.76349205162389,-0.6760584058422602,0.048,Cold Spot (95% Confidence),0.009812074
8.687123674405173,76.76351739526005,-0.4742402150456537,0.141,Not Significant,0.007816398
8.737752809075433,76.76375472868648,0.046956050704770505,0.293,Not Significant,0.015632796
8.746793711128326,76.7637972604072,0.35174002746833494,0.183,Not Significant,0.009812074
8.761259145025583,76.76386540621019,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.763067323449606,76.76387393266194,-0.39814184853341517,0.242,Not Significant,0.003991352
8.67807433855724,76.76529232338258,-0.5700685931691838,0.108,Not Significant,0.003991352
8.679882523482481,76.7653007744708,-0.45405542123485426,0.183,Not Significant,0.003991352
8.746785239458196,76.76561475027226,-0.3976448487732693,0.242,Not Significant,0.019624148
8.67987410893086,76.76711793971566,-0.7901940343822648,0.015,Cold Spot (95% Confidence),0.013803426
8.685298657294508,76.7671433300256,-0.58726250321002,0.075,Not Significant,0.007816398
8.687098409402445,76.76896899530936,-0.2837731826558147,0.347,Not Significant,0.003991352
8.754000967013898,76.76928388794018,-0.09238333079470447,0.322,Not Significant,0.031265592
8.79739708845374,76.76948948471765,,0.001,Not Significant,0.007816398
8.68528179156141,76.77077770717567,-0.495547780702333,0.069,Not Significant,0.01363712
8.652726127621387,76.77244232956113,,0.001,Not Significant,0.01363712
8.683465168456298,76.77258640165235,-0.27274908696774375,0.381,Not Significant,0.007816398
8.687081522798305,76.77260338618503,-0.40045681337821776,0.19,Not Significant,0.01363712
8.708779633772735,76.77270544760184,,0.001,Not Significant,0.007816398
8.726861373141658,76.77279070077633,,0.001,Not Significant,0.003991352
8.752175777980945,76.77291036380717,0.3362075757817696,0.203,Not Significant,0.013803426
8.791955485425994,76.77309913335822,,0.001,Not Significant,0.007816398
8.683456715746303,76.77440357694789,-0.4233442146666434,0.225,Not Significant,0.009812074
8.692497591324187,76.77444609553616,-0.39814184853341517,0.242,Not Significant,0.003991352
8.716003846813923,76.77455685890502,-0.3116916822359797,0.375,Not Significant,0.01363712
8.735893731552173,76.77465082441906,,0.001,Not Significant,0.009812074
8.782906099542231,76.77487380932274,1.6859014729548896,0.062,Not Significant,0.009812074
8.667174683144646,76.7761442545535,-0.39793162443676333,0.242,Not Significant,0.009812074
8.752158728058614,76.77654537593227,-0.3367074453431429,0.411,Not Significant,0.017628472
8.753966894903215,76.77655395460098,0.1505569596317568,0.25,Not Significant,0.009812074
8.763007726414235,76.77659687556314,-0.39793162443676333,0.242,Not Significant,0.009812074
8.786513867162487,76.77670868552153,0.7256175142121473,0.128,Not Significant,0.037086314
8.788322030566617,76.77671729918006,1.6866495201356124,0.062,Not Significant,0.027440546000000003
8.692480642063359,76.77808052758765,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.715986851032975,76.77819151753162,0.2601132992526939,0.219,Not Significant,0.003991352
8.7177950196947,76.77820006811346,-0.7195356678033673,0.074,Not Significant,0.019624148
8.730452195283592,76.77825997377005,,0.001,Not Significant,0.019624148
8.759382849149558,76.77839724002818,-0.2518091760413993,0.394,Not Significant,0.009812074
8.770231832419457,76.77844883651592,,0.001,Not Significant,0.01363712
8.66534959481272,76.77976993193847,-0.39793162443676333,0.242,Not Significant,0.009812074
8.70332116699227,76.77994898054757,-0.3003974981265592,0.381,Not Significant,0.01363712
8.80096198775996,76.78041312576815,-0.10568672764603508,0.497,Not Significant,0.009812074
8.804578304313551,76.78043041966971,-0.3978097469359936,0.213,Not Significant,0.01363712
8.65268392970656,76.78152745011423,1.4359924963718265,0.047,Hot Spot (95% Confidence),0.003991352
8.656300272238576,76.78154445887014,0.5729865765057693,0.105,Not Significant,0.021619824000000003
8.658108443236342,76.7815529660148,0.18601685659385742,0.249,Not Significant,0.013803426
8.659916614055238,76.78156147500401,0.0906761478824767,0.301,Not Significant,0.007816398
8.701504493436751,76.78175769094406,-0.3003974981265592,0.38,Not Significant,0.01363712
8.703312659951745,76.78176624421484,-0.17268358024781522,0.499,Not Significant,0.009812074
8.761173893307776,76.782040923596,-0.39780974693599375,0.263,Not Significant,0.01363712
8.79191259823994,76.78218761620028,-0.39793162443676333,0.243,Not Significant,0.009812074
8.80818600903132,76.78226549316248,-0.3144330824965552,0.384,Not Significant,0.009812074
8.656291803208799,76.7833614947803,-0.10250914020812181,0.492,Not Significant,0.049060370000000006
8.658099972411362,76.78337001059036,0.833966892205931,0.042,Hot Spot (95% Confidence),0.007816398
8.668948983868754,76.78342114422692,,0.001,Not Significant,0.009812074
8.67798982182474,76.78346380637356,,0.001,Not Significant,0.009812074
8.777438742511045,76.78393613853001,-0.5375164520730575,0.233,Not Significant,0.015632796
8.793712150208837,76.7840139616437,-0.39793162443676333,0.243,Not Significant,0.009812074
8.806369234915765,76.78407459431168,-0.3144330824965552,0.385,Not Significant,0.009812074
8.636393472298302,76.78508488158845,,0.001,Not Significant,0.02727424
8.656283325556647,76.78517852884409,1.4020403511085844,0.014,Hot Spot (95% Confidence),0.013803426
8.6598996601888,76.78519557964326,1.525935079078178,0.006,Hot Spot (99% Confidence),0.017628472
8.66170782723648,76.78520410781535,1.5793960488648704,0.014,Hot Spot (95% Confidence),0.007816398
8.705103782603038,76.78540933855558,-0.39814184853341517,0.243,Not Significant,0.003991352
8.741266999627973,76.78558117788697,,0.001,Not Significant,0.009812074
8.762964895190295,76.78568463671691,-0.27789053013491893,0.326,Not Significant,0.009812074
8.766581208584832,76.78570190576444,-0.30789074803497707,0.321,Not Significant,0.01363712
8.781046454916552,76.78577105599351,0.04673703285213823,0.292,Not Significant,0.007982704
8.659891170316577,76.78701262919132,0.3611190431121497,0.159,Not Significant,0.09629137
8.661699335565366,76.78702116603249,1.4292483654491248,0.02,Hot Spot (95% Confidence),0.041077666
8.697862602903372,76.78719229146554,,0.001,Not Significant,0.019624148
8.723176847283,76.78731251981344,,0.001,Not Significant,0.009812074
8.753915525100233,76.78745899931927,,0.001,Not Significant,0.009812074
8.76295630275477,76.7875021834028,0.6012272091992542,0.112,Not Significant,0.009812074
8.773805229965754,76.78755406544204,,0.001,Not Significant,0.007816398
8.786462303464486,76.78761467879748,,0.001,Not Significant,0.015632796
8.65084185189417,76.7887869771186,,0.001,Not Significant,0.007816398
8.658074508191373,76.7888211332311,2.536752878214246,0.002,Hot Spot (99% Confidence),0.009812074
8.66169083526648,76.7888382223994,2.226496722053419,0.008,Hot Spot (99% Confidence),0.009812074
8.692429586464854,76.78898377948379,,0.001,Not Significant,0.019624148
8.762947701589091,76.78931972823598,2.3951984976529435,0.001,Hot Spot (99% Confidence),0.01180775
8.764755854775382,76.78932837938676,1.2486826967279725,0.016,Hot Spot (95% Confidence),0.01363712
8.719543404270214,76.79092998980089,,0.001,Not Significant,0.009812074
8.732200490512454,76.79099033645697,,0.001,Not Significant,0.01363712
8.744857567912764,76.79105077404245,-0.2726838115264513,0.378,Not Significant,0.009812074
8.762939091693312,76.79113727121462,0.07871992613443674,0.315,Not Significant,0.152835526
8.764747243076108,76.79114593114156,2.5173382924301935,0.002,Hot Spot (99% Confidence),0.01363712
8.672522764071145,76.79252374563907,,0.001,Not Significant,0.007816398
8.744848967339239,76.79286822750693,-0.20310169324294478,0.416,Not Significant,0.009812074
8.746657118725896,76.7928768776287,-0.32475056032891775,0.318,Not Significant,0.01363712
8.762930473067476,76.79295481233682,2.9931457086194686,0.001,Hot Spot (99% Confidence),0.019624148
8.764738622644943,76.79296348103985,1.7114941682292164,0.01,Hot Spot (99% Confidence),0.021453518
8.641775534378873,76.79419519585949,-0.39793162443676333,0.244,Not Significant,0.009812074
8.649008172600784,76.79422941877093,,0.001,Not Significant,0.009812074
8.656240807961762,76.79426367140172,,0.001,Not Significant,0.009812074
8.74484035805398,76.79468567911353,-0.314313533670764,0.331,Not Significant,0.01363712
8.752072955287893,76.7947203257887,2.2398251246600043,0.016,Hot Spot (95% Confidence),0.027440546
8.762921845711611,76.79477235160066,1.646231998683735,0.023,Hot Spot (95% Confidence),0.02727424
8.790044043230695,76.79490270913399,,0.001,Not Significant,0.003991352
8.799084766660922,76.79494625468111,,0.001,Not Significant,0.009812074
8.815358057377289,76.79502475391816,,0.001,Not Significant,0.009812074
8.846096455120046,76.79517344166904,,0.001,Not Significant,0.007816398
8.688779069687707,76.79623535529777,,0.001,Not Significant,0.009812074
8.69420352922049,76.79626119071516,,0.001,Not Significant,0.005820722
8.750256182827206,76.79652913735424,2.545488623391835,0.016,Hot Spot (95% Confidence),0.013803426
8.752064330055589,76.7965378105757,0.4154310075182548,0.178,Not Significant,0.06452686
8.643566652133199,76.79783767162797,-0.39793162443676333,0.284,Not Significant,0.009812074
8.7538638413411,76.79836397734883,2.2918376208342037,0.013,Hot Spot (95% Confidence),0.019624148
8.766520852929904,76.79842481647216,-0.39793162443676333,0.244,Not Significant,0.009812074
8.621860253663916,76.79955180649058,-0.3106832711214282,0.402,Not Significant,0.01363712
8.627284722203779,76.79957748728465,-0.1799354545152471,0.453,Not Significant,0.015632796
8.645366272400427,76.79966321100555,-0.39793162443676333,0.244,Not Significant,0.009812074
8.677913017676106,76.79981798321077,-0.39780974693599375,0.244,Not Significant,0.01363712
8.766512195758956,76.80024236770352,-0.4233442219431172,0.247,Not Significant,0.009812074
8.782785467009981,76.80032080273286,,0.001,Not Significant,0.007816398
8.623659887410458,76.80137722660619,-0.08027414512065685,0.422,Not Significant,0.009812074
8.625468041777237,76.80138579550203,-0.23262753171920142,0.431,Not Significant,0.013803426
8.66163109160022,76.80155756500301,-0.10557300050769015,0.495,Not Significant,0.01363712
8.663439242212934,76.80156617306058,-0.10557300050769015,0.495,Not Significant,0.01363712
8.672479992588292,76.80160924132923,-0.39793162443676333,0.244,Not Significant,0.009812074
8.674288142125466,76.80161786057941,-0.34922414163830867,0.364,Not Significant,0.009812074
8.68332888711985,76.80166098481492,-0.3980003328759078,0.244,Not Significant,0.007816398
8.692369627625093,76.80170415569549,,0.001,Not Significant,0.003991352
8.641732873694176,76.80327994571333,,0.001,Not Significant,0.007816398
8.683320296014916,76.80347813048311,-0.5504072094748867,0.14,Not Significant,0.009812074
8.768302993561255,76.80388618966472,-0.3980003328759078,0.243,Not Significant,0.007816398
8.69958499323716,76.80537317206793,0.0467888573920882,0.293,Not Significant,0.009812074
8.741172241457226,76.80557293240189,,0.001,Not Significant,0.01363712
8.661605357759498,76.80700868389151,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.663413502920653,76.80701731796069,-0.39814184853341517,0.244,Not Significant,0.003991352
8.838802726208172,76.8078637220165,,0.001,Not Significant,0.009812074
8.612776824752768,76.80859307358466,,0.001,Not Significant,0.01363712
8.643515319305036,76.80873939538179,,0.001,Not Significant,0.009812074
8.701375874586155,76.80901629274642,1.2655695920578292,0.039,Hot Spot (95% Confidence),0.015632796
8.733922356009847,76.80917289061291,0.2501934424017857,0.249,Not Significant,0.01363712
8.735730492152493,76.80918160830024,-0.044299007328515626,0.411,Not Significant,0.0236155
8.737538628114446,76.80919032786217,0.42024730180754655,0.18,Not Significant,0.015632796
8.800823272667103,76.80949669386668,0.31207338886803454,0.235,Not Significant,0.003991352
8.826137068150578,76.8096198836945,-0.5201350758351826,0.152,Not Significant,0.003991352
8.605535682973386,76.81037548970885,,0.001,Not Significant,0.009812074
8.694134678591926,76.81079876604697,0.41799700338338,0.159,Not Significant,0.02727424
8.697750954983217,76.81081613824573,0.8540513875850729,0.044,Hot Spot (95% Confidence),0.009812074
8.699559092908972,76.81082482715841,1.002286061412517,0.05,Hot Spot (95% Confidence),0.033427574
8.721256733969412,76.8109292404194,0.34150246525718786,0.192,Not Significant,0.015632796
8.733913679261214,76.81099027291218,0.13658735138867592,0.28,Not Significant,0.01363712
8.826128298390119,76.81143771441695,-0.6203666686051783,0.056,Not Significant,0.007816398
8.632649286832285,76.81232147983664,-0.3262451496573235,0.342,Not Significant,0.007816398
8.657963266349094,76.81244247141059,0.11308927589352617,0.293,Not Significant,0.007816398
8.661579546273046,76.81245978594178,-0.5500390154921119,0.164,Not Significant,0.023449194
8.681469073032064,76.81255515004602,-0.39793162443676333,0.244,Not Significant,0.009812074
8.694126033292381,76.8126159545436,0.5223939047188182,0.13,Not Significant,0.02544487
8.695934169753183,76.8126246484094,0.6573346760915459,0.066,Not Significant,0.013803426
8.697742306034062,76.8126333441526,1.16940559369456,0.023,Hot Spot (95% Confidence),0.003991352
8.699550442134985,76.81264204177322,0.12338712898102214,0.297,Not Significant,0.070513888
8.710399254959379,76.8126942669254,-0.39780974693599375,0.281,Not Significant,0.01363712
8.71220738979958,76.81270297768926,-0.10568672764603508,0.497,Not Significant,0.009812074
8.717631793238555,76.81272912124768,0.09498517178953832,0.297,Not Significant,0.009812074
8.719439927357548,76.81273783952292,0.19474933068958908,0.26,Not Significant,0.01363712
8.721248061296144,76.81274655967611,-0.08075679617812352,0.461,Not Significant,0.02727424
8.723056195054312,76.81275528170731,0.5147377465826252,0.145,Not Significant,0.01363712
8.79899764948703,76.81312330343856,-0.10106125732949438,0.376,Not Significant,0.023449194
8.800805775452284,76.81313210626568,0.3468158405332458,0.195,Not Significant,0.015632796
8.82611951983607,76.81325554326074,-0.6088561888330324,0.142,Not Significant,0.009812074
8.630832554058928,76.81412973480987,-0.4605870237877382,0.188,Not Significant,0.013803426
8.632640694967977,76.81413837163323,-0.28122191359755905,0.351,Not Significant,0.009812074
8.645297676326715,76.81419888197561,-0.39793162443676333,0.243,Not Significant,0.009812074
8.661570925189821,76.81427681620794,0.4448739624479891,0.177,Not Significant,0.007816398
8.683268567751073,76.81438096520529,-0.39793162443676333,0.266,Not Significant,0.009812074
8.692309244518691,76.81442444047218,0.7635921673196421,0.089,Not Significant,0.031431898
8.695925513966941,76.81444184373284,0.3229905465774025,0.152,Not Significant,0.031265592
8.701349916789695,76.81446796271842,0.806078528548053,0.046,Hot Spot (95% Confidence),0.01363712
8.7031580507039,76.8144766728057,0.5130860643033565,0.148,Not Significant,0.009812074
8.704966184438021,76.8144853847724,-0.36504017773550274,0.283,Not Significant,0.02544487
8.706774317992025,76.81449409861858,0.4660967294198543,0.168,Not Significant,0.009812074
8.741128821246983,76.81466001885688,,0.001,Not Significant,0.009812074
8.751977598196824,76.81471255573481,,0.001,Not Significant,0.029436222
8.603701847790072,76.81581715968805,1.4532273224485563,0.063,Not Significant,0.019624148
8.634440233408272,76.8159639088934,0.24669483789460006,0.244,Not Significant,0.007816398
8.636248372132057,76.81597255811432,-0.5245892319573248,0.19,Not Significant,0.02544487
8.647097200719692,76.81602449291523,-0.39793162443676333,0.261,Not Significant,0.009812074
8.724846949911841,76.8163986734271,0.2042285667339916,0.238,Not Significant,0.019624148
8.809828851975073,76.81681164166915,,0.001,Not Significant,0.009812074
8.60007698761371,76.81761666361623,1.1846849125527137,0.068,Not Significant,0.007982704
8.603693268003134,76.81763390973984,0.17481276317252464,0.243,Not Significant,0.039248296
8.654321118514817,76.81787614555965,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.685059387857997,76.8180239371153,-0.580055248388186,0.086,Not Significant,0.009812074
8.69590817640893,76.81807622874004,0.7839096677634917,0.097,Not Significant,0.015965408
8.697716307204397,76.81808495060112,0.5215023112917577,0.14,Not Significant,0.007982704
8.701332568255275,76.81810239997259,-0.3434760583517194,0.288,Not Significant,0.009812074
8.723030119423608,76.81820725439879,-0.09912399467366215,0.465,Not Significant,0.039081990000000004
8.724838247515141,76.81821600451056,0.8185435178237896,0.088,Not Significant,0.007816398
8.777273883481065,76.8184705773539,,0.001,Not Significant,0.009812074
8.594643986494958,76.81940751368468,0.04662515147460102,0.292,Not Significant,0.003991352
8.63080673236789,76.81958037301084,,0.001,Not Significant,0.009812074
8.647079944710836,76.81965840545986,-0.39793162443676333,0.246,Not Significant,0.009812074
8.656120611971236,76.81970182274836,-0.39814184853341517,0.263,Not Significant,0.003991352
8.659736877621343,76.81971920285099,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.665161274751968,76.81974528713519,,0.001,Not Significant,0.005820722
8.681434456453992,76.81982364173686,-0.6201637864878903,0.056,Not Significant,0.01363712
8.686858847121437,76.81984979385771,-0.3631958655950156,0.243,Not Significant,0.003991352
8.690475106667433,76.81986723802828,1.1776239495688883,0.07,Not Significant,0.007816398
8.694091365493913,76.81988468973793,-0.3490575772292134,0.242,Not Significant,0.056876768
8.723021410168272,76.82002457486442,0.4578419628880555,0.144,Not Significant,0.017628472
8.592827261404638,76.82121558515445,-0.8424586008612408,0.001,Cold Spot (99% Confidence),0.015632796
8.62537370611375,76.82137124582864,,0.001,Not Significant,0.009812074
